epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1881.88,1.20477,1.16801,1.63011,0.64421,0.71276,0.70463,0.46605,1.4497,1.21447,1.92778,0.00505,0.00505,0.00505
77,1907.65,1.20033,1.16254,1.62843,0.64569,0.67532,0.69934,0.45307,1.43848,1.22542,1.9196,0.004984,0.004984,0.004984
78,1931.48,1.19921,1.14901,1.62913,0.59741,0.75082,0.71111,0.4573,1.45446,1.25056,1.93571,0.004918,0.004918,0.004918
79,1955.68,1.20282,1.15035,1.62687,0.65764,0.65794,0.68964,0.45422,1.45436,1.24595,1.93629,0.004852,0.004852,0.004852
80,1979.56,1.18606,1.13462,1.61562,0.62393,0.70689,0.70216,0.46019,1.44674,1.24221,1.92414,0.004786,0.004786,0.004786
81,2004.24,1.18895,1.14662,1.61984,0.61893,0.73821,0.70581,0.45814,1.46222,1.21736,1.93411,0.00472,0.00472,0.00472
82,2029.75,1.1881,1.14381,1.61834,0.62792,0.7199,0.70234,0.45673,1.46147,1.21043,1.92958,0.004654,0.004654,0.004654
83,2055.07,1.18572,1.12507,1.60758,0.70773,0.65622,0.70501,0.45373,1.4501,1.22785,1.9204,0.004588,0.004588,0.004588
84,2080.2,1.1757,1.1199,1.60366,0.64584,0.71771,0.72501,0.4618,1.46193,1.22678,1.92967,0.004522,0.004522,0.004522
85,2106.29,1.17754,1.12723,1.60361,0.65586,0.73634,0.72209,0.45952,1.44961,1.22468,1.92639,0.004456,0.004456,0.004456
86,2130.08,1.18243,1.11834,1.60744,0.68159,0.6904,0.72043,0.46537,1.45273,1.23376,1.93046,0.00439,0.00439,0.00439
