epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2030.87,1.25238,1.23363,1.64857,0.59361,0.73285,0.70979,0.45133,1.43329,1.21506,1.85922,0.005116,0.005116,0.005116
76,2058.14,1.23623,1.22815,1.64425,0.61451,0.69005,0.69394,0.43904,1.43246,1.22388,1.87786,0.00505,0.00505,0.00505
77,2084.82,1.23877,1.22255,1.64719,0.60054,0.74643,0.72027,0.44075,1.44836,1.21433,1.8872,0.004984,0.004984,0.004984
78,2112.63,1.23406,1.21452,1.64592,0.60435,0.71626,0.71023,0.45105,1.41102,1.21957,1.85889,0.004918,0.004918,0.004918
79,2138.77,1.24238,1.21758,1.64041,0.61694,0.69687,0.69039,0.44231,1.41605,1.215,1.85995,0.004852,0.004852,0.004852
80,2166.22,1.22554,1.20745,1.62952,0.56347,0.75445,0.6884,0.44136,1.43566,1.24331,1.88638,0.004786,0.004786,0.004786
81,2194.65,1.2304,1.21677,1.63716,0.63764,0.68735,0.69922,0.45141,1.41969,1.22753,1.86229,0.00472,0.00472,0.00472
82,2222.34,1.22446,1.21078,1.63507,0.58648,0.70227,0.69453,0.44809,1.44905,1.24111,1.88861,0.004654,0.004654,0.004654
83,2248.92,1.22385,1.20084,1.62824,0.65633,0.69605,0.70129,0.45707,1.43297,1.21196,1.87042,0.004588,0.004588,0.004588
84,2275.64,1.22055,1.19029,1.6282,0.67556,0.65582,0.71275,0.45883,1.41408,1.19467,1.85593,0.004522,0.004522,0.004522
85,2302.79,1.22084,1.19675,1.62328,0.62296,0.71741,0.69767,0.44992,1.44126,1.21894,1.87266,0.004456,0.004456,0.004456
86,2331.71,1.22453,1.19425,1.62711,0.57221,0.75344,0.70292,0.44665,1.44457,1.23756,1.87565,0.00439,0.00439,0.00439
87,2359.43,1.20969,1.1985,1.61378,0.61163,0.73299,0.70772,0.44977,1.437,1.2011,1.87896,0.004324,0.004324,0.004324
88,2388.2,1.21068,1.18186,1.61755,0.6192,0.72361,0.70902,0.45025,1.45304,1.23337,1.89844,0.004258,0.004258,0.004258
89,2416.28,1.20731,1.18351,1.62235,0.63821,0.69282,0.70543,0.45124,1.43826,1.20646,1.89416,0.004192,0.004192,0.004192
90,2444.04,1.20271,1.17469,1.60797,0.66635,0.64919,0.70684,0.44918,1.45957,1.20187,1.89586,0.004126,0.004126,0.004126
91,2471.98,1.19933,1.16746,1.61076,0.67116,0.65395,0.71213,0.44715,1.46616,1.21543,1.91627,0.00406,0.00406,0.00406
92,2498.94,1.1909,1.16063,1.59666,0.64679,0.65382,0.7024,0.44308,1.45149,1.21761,1.88062,0.003994,0.003994,0.003994
93,2525.6,1.19247,1.14545,1.5979,0.63344,0.69636,0.70729,0.45042,1.45894,1.2065,1.8721,0.003928,0.003928,0.003928
94,2552.03,1.19563,1.15459,1.60183,0.59665,0.74064,0.70261,0.44977,1.45066,1.19064,1.88447,0.003862,0.003862,0.003862
95,2578.74,1.18361,1.15453,1.59542,0.63557,0.69354,0.70838,0.44891,1.4476,1.19838,1.884,0.003796,0.003796,0.003796
96,2604.96,1.18761,1.1394,1.59146,0.58789,0.72634,0.69417,0.43554,1.45599,1.19486,1.89571,0.00373,0.00373,0.00373
97,2631.41,1.18618,1.13954,1.59756,0.65507,0.66635,0.70633,0.44825,1.44924,1.17759,1.88778,0.003664,0.003664,0.003664
98,2658.7,1.18625,1.14101,1.58938,0.60863,0.73746,0.69812,0.44418,1.44537,1.20618,1.88543,0.003598,0.003598,0.003598
99,2686.29,1.18676,1.13569,1.5914,0.67229,0.6669,0.70107,0.44104,1.45632,1.21616,1.8895,0.003532,0.003532,0.003532
100,2713.68,1.17993,1.13441,1.58937,0.6412,0.70279,0.69878,0.44875,1.435,1.20654,1.86937,0.003466,0.003466,0.003466
101,2740.35,1.17773,1.1351,1.58163,0.62797,0.72687,0.71517,0.44821,1.45242,1.19595,1.89053,0.0034,0.0034,0.0034
102,2766.53,1.16575,1.11888,1.57192,0.63377,0.7262,0.70708,0.45257,1.46251,1.18284,1.90117,0.003334,0.003334,0.003334
103,2793.84,1.1693,1.11958,1.57631,0.64161,0.68468,0.70305,0.44913,1.46261,1.20128,1.90031,0.003268,0.003268,0.003268
104,2820.52,1.1702,1.1195,1.57442,0.60615,0.71155,0.69651,0.44859,1.44972,1.20482,1.88315,0.003202,0.003202,0.003202
