epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1293.08,1.39101,1.50493,1.83818,0.51668,0.72261,0.63427,0.39038,1.44506,1.45379,1.94263,0.008152,0.008152,0.008152
58,1308.11,1.39246,1.51914,1.84274,0.56765,0.64834,0.64149,0.40644,1.45825,1.39979,1.95201,0.008119,0.008119,0.008119
59,1323.76,1.38283,1.48943,1.83372,0.60072,0.67098,0.66244,0.4121,1.44073,1.37902,1.95556,0.008086,0.008086,0.008086
60,1339.28,1.38999,1.4838,1.83439,0.57918,0.7109,0.67774,0.42917,1.43927,1.37379,1.94365,0.008053,0.008053,0.008053
61,1353.98,1.37511,1.49111,1.8157,0.62605,0.65248,0.66067,0.41544,1.44144,1.39523,1.95407,0.00802,0.00802,0.00802
62,1368.91,1.37622,1.48754,1.82499,0.6353,0.6552,0.64059,0.39711,1.43528,1.47865,1.99322,0.007987,0.007987,0.007987
63,1384.63,1.37068,1.47823,1.81784,0.58368,0.67928,0.66078,0.4279,1.38341,1.36608,1.91614,0.007954,0.007954,0.007954
64,1399.56,1.36631,1.46637,1.80757,0.6214,0.66603,0.65937,0.4051,1.4666,1.42339,1.95821,0.007921,0.007921,0.007921
65,1414.27,1.38218,1.47878,1.81261,0.57101,0.68937,0.67492,0.40409,1.46098,1.35326,1.95466,0.007888,0.007888,0.007888
66,1429.47,1.37488,1.46853,1.81301,0.59989,0.64583,0.65074,0.41909,1.41971,1.38364,1.92881,0.007855,0.007855,0.007855
67,1444.76,1.35971,1.45154,1.79506,0.59665,0.66392,0.65549,0.4142,1.41582,1.3717,1.93191,0.007822,0.007822,0.007822
68,1459.74,1.36861,1.43508,1.80219,0.59704,0.62593,0.65017,0.41762,1.40863,1.35724,1.92167,0.007789,0.007789,0.007789
